,Unnamed: 0,formatted_address,name,place_id,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,permanently_closed,price_level
5668,5668,"Rte du Pafuet 1, 1724 Le Mouret, Switzerland",BENU Pharmacie Le Mouret,ChIJqfsMxDFmjkcRzPmpgTbYoec,3.3,12.0,46.7457825,7.172238,True,,
5669,5669,"Chemin de la Croix Blanche 3, 1724 Le Mouret, Switzerland","Boucherie du Mouret, Philippe Kunzli",ChIJH2DrAYVnjkcRpwhlEi0CKqQ,5.0,1.0,46.74038789999999,7.2008377,True,,
5670,5670,"Rte de la Gruyère 15, 1724 Le Mouret, Switzerland","Boulangerie antoine, Le Mouret",ChIJqWPgEcJnjkcRQZM5z9xsTLQ,4.4,194.0,46.7432746,7.171935599999999,True,,1.0
5671,5671,"Rte d'Arconciel 9, 1733 Treyvaux, Switzerland",Boulangerie de Treyvaux,ChIJ182lYNlnjkcR0m8OSj92MSo,0.0,0.0,46.727811,7.13629,True,,
5672,5672,"Chem. du Clos-d'Illens 2, 1733 Treyvaux, Switzerland",Boucherie Bielo,ChIJx1iDVnpmjkcR-bPAZDtMWWw,4.4,8.0,46.726896,7.137119999999999,True,,
5673,5673,"Rte du Barrage 17, 1733 Treyvaux, Switzerland",Costa boisson,ChIJA-V5gy1njkcRW2R2qQ3PQpo,0.0,0.0,46.7265864,7.1342335,False,,
5674,5674,"Rte d'Arconciel 9, 1733 Treyvaux, Switzerland",Boulangerie Waeber Noël,ChIJ3VDXQXpmjkcReGDKTnUERQQ,4.8,12.0,46.7278112,7.1362909,True,,
5675,5675,"Chem. du Clos-d'Illens 9, 1733 Treyvaux, Switzerland",Cave Mas Juliette,ChIJ8ctEa3lmjkcREn1GPUusAmE,4.7,3.0,46.7261957,7.1373431,,,
5676,5676,"Centre Commercial Fibourg-Sud, Rte de Moncor 1, 1752 Villars-sur-Glâne, Switzerland",Gifi Fribourg Sud,ChIJ1bVf9t9ujkcRLrmOVumGnkw,4.0,1260.0,46.7981586,7.1229457,True,,
5677,5677,"Rte de Moncor 8, 1752 Villars-sur-Glâne, Switzerland",Migrol Service,ChIJa17tDeBujkcRxgxSdGxTMyU,4.1,51.0,46.798741,7.1231763,True,,
